Humidity,Temperature (C),Temperature (F),Apparent Temperature (C),Apparent Temperature (F),Precip Type
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.80,83.84,30.70,87.26,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
60.00,28.70,83.66,30.54,86.96,0
